Sentence,Polarity,Subjectivity
 @ Aparnitam11 @ SavageSorceress @ saket71 @ jimmy_wales @ indikakumar4 It changed outrage . Identity Sha… https : //t.co/OquTearJht,0.0,0.0
 India defends CAA UN rights chief approaches Supreme Court https : //t.co/DG4U2RfeWm,0.0,0.0
 That ’ unprovoked assault # DelhiPolice,0.0,0.0
" Let ’ Encrypt discovers CAA bug , must revoke customer certificates https : //t.co/jhq66euHZF",0.0,0.0
 🙌👏👏 true .,0.35,0.65
 This unprecedented step & amp ; arguably extreme one @ UN body take . But India respected upholder human rights past UN agency would needed consider thing : https : //t.co/b5KLsP3eb7,0.056249999999999994,0.5625
" Poor diplomats defending senseless bigotry repeat half-truths . If Muslims declared illegal/stateless , mostly BDeshis , put camps next ? Options : life imprisonment , informal pushing across border Nazi final solution & amp ; # Auschwitz II . Would BDesh cheer/ignore ?",0.024999999999999994,0.525
 @ priyankagandhi Change priority ... Is CAA issue fake ?,-0.5,1.0
" @ okokthikhai @ AskAnshul This CAA discriminate Indians . Non muslims found 3 countries , t… https : //t.co/hC1XHMPW4o",0.0,0.0
" Total capacity ALL prisons India 3.9 lakhs . ( NCRB 2017 ) Assam NRC alone rendered 19lakh people ‘ stateless ’ . Aside essential humanitarian concerns , NRC debacle plain idiotic policy . What plan ? Throw ? Keep ? Where exactly ? WHY DO THIS ?",-0.1261904761904762,0.4980952380952381
 Who told tht # CAA Indians show papers citizenship . It 's high time people consider… https : //t.co/TgBrd0YgpS,0.16,0.5399999999999999
" Yes I guess bomb blasts Shia mosques Pakistan testimony ? BTW since ’ united & amp ; persecuted , want included CAA ?",0.0,0.0
 UNHRC probably lost . I hope @ narendramodi Government withdraws India UNHRC interference Soverign affairs like Israel biased behaviour . Mere condemnation MEA wont suffice @ DrSJaishankar ji ! ! !,-0.9765625,0.5
 A woman Aligarh reveals husband forced attend anti-CAA dharna ! Now bold woman lodged complaint police ! I 'm waiting response feminists ! I 'm damn sure say : * The peaceful husband empowering wife sending protest,0.04791666666666665,0.49111111111111116
 Thread 👇,0.0,0.0
" BREAKING : 3rd March , 2020 . UN High Commissioner Human Rights files intervention application India 's Supreme Court CAA . @ UN @ UNHumanRights @ UN_Women @ UNinIndia @ unwomenindia CC : @ NrcProtest @ ThePeopleOfIN @ UAH_India @ karwanemohabbat @ ICLU_Ind @ SaketGokhale https : //t.co/3tqlLtTfjT",0.05333333333333334,0.2133333333333333
 @ PradhaanSewak @ Arungk34 @ Saral_Shamshad @ ManpritShergill @ SaumyadeepDas4 @ Nehr_who @ narendramodi Assam NRC goin… https : //t.co/0UsOEK1pXY,0.0,0.0
